"DateTime","Price","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.05.2022","4.061,5","4.180,0","4.199,0","4.043,0","305,24K","-3,76%"
"30.05.2022","4.220,0","4.351,0","4.380,0","4.100,0","415,92K","-1,63%"
"27.05.2022","4.290,0","4.285,0","4.359,5","4.255,0","475,10K","0,63%"
"26.05.2022","4.263,0","4.160,0","4.298,5","4.085,0","488,50K","2,77%"
"25.05.2022","4.148,0","3.999,0","4.148,0","3.975,0","339,34K","5,23%"
"24.05.2022","3.942,0","4.050,0","4.062,5","3.882,0","501,95K","-2,67%"
"23.05.2022","4.050,0","4.305,0","4.350,0","4.031,0","332,96K","-5,35%"
"20.05.2022","4.279,0","4.419,0","4.449,0","4.258,0","304,80K","-3,09%"
"19.05.2022","4.415,5","4.483,5","4.509,5","4.381,5","229,82K","-1,52%"
"18.05.2022","4.483,5","4.520,0","4.565,0","4.480,0","273,96K","-0,37%"
"17.05.2022","4.500,0","4.543,0","4.589,0","4.400,0","388,54K","-0,52%"
"16.05.2022","4.523,5","4.380,0","4.669,5","4.380,0","1,14M","3,28%"
"13.05.2022","4.380,0","4.400,0","4.439,0","4.300,0","272,07K","0,40%"
"12.05.2022","4.362,5","4.550,0","4.581,0","4.325,5","525,90K","-5,16%"
"11.05.2022","4.600,0","4.640,0","4.699,0","4.539,0","242,22K","-0,77%"
"06.05.2022","4.635,5","4.689,0","4.690,0","4.568,0","376,03K","-0,84%"
"05.05.2022","4.675,0","4.602,0","4.689,5","4.600,5","230,33K","2,70%"
"04.05.2022","4.552,0","4.747,0","4.772,5","4.526,0","443,42K","-3,14%"
"29.04.2022","4.699,5","4.410,0","4.717,0","4.380,0","865,62K","7,27%"
"28.04.2022","4.381,0","4.551,0","4.740,0","4.318,0","923,46K","-3,71%"
"27.04.2022","4.550,0","4.325,0","4.559,0","4.276,0","783,96K","6,01%"
"26.04.2022","4.292,0","3.970,5","4.587,5","3.960,5","1,35M","9,18%"
"25.04.2022","3.931,0","3.828,0","3.994,0","3.710,5","560,39K","2,69%"
"22.04.2022","3.828,0","3.974,0","4.044,0","3.682,0","1,65M","-3,67%"
"21.04.2022","3.974,0","4.331,5","4.340,0","3.910,0","1,22M","-7,80%"
"20.04.2022","4.310,0","4.498,5","4.536,0","4.215,5","726,09K","-3,90%"
"19.04.2022","4.485,0","4.592,0","4.592,0","4.108,0","708,76K","-1,41%"
"18.04.2022","4.549,0","4.913,0","4.948,0","4.524,0","407,46K","-7,03%"
"15.04.2022","4.893,0","4.879,0","4.956,0","4.800,0","151,32K","0,28%"
"14.04.2022","4.879,5","5.115,5","5.120,0","4.862,0","199,12K","-4,44%"
"13.04.2022","5.106,0","5.179,5","5.209,0","5.056,0","160,93K","-0,76%"
"12.04.2022","5.145,0","5.200,0","5.250,0","5.026,0","219,89K","-0,87%"
"11.04.2022","5.190,0","5.225,0","5.385,0","5.184,0","144,62K","-0,70%"
"08.04.2022","5.226,5","5.299,5","5.319,5","5.087,0","199,67K","-1,01%"
"07.04.2022","5.280,0","5.260,0","5.356,0","5.240,0","264,68K","0,27%"
"06.04.2022","5.266,0","5.314,0","5.514,0","5.224,5","195,34K","-0,90%"
"05.04.2022","5.314,0","5.574,0","5.590,0","5.220,0","245,01K","-4,37%"
"04.04.2022","5.557,0","5.698,0","5.750,0","5.395,0","304,18K","-0,79%"
"01.04.2022","5.601,0","5.660,0","5.868,0","5.450,0","385,73K","-1,39%"
"31.03.2022","5.680,0","5.120,0","5.680,0","5.100,0","469,08K","10,51%"
"30.03.2022","5.140,0","5.050,0","5.140,0","5.000,0","287,53K","4,43%"
"29.03.2022","4.922,0","5.118,0","5.350,0","4.800,0","642,27K","-3,83%"
"28.03.2022","5.118,0","5.200,0","5.200,0","4.915,0","228,86K","-1,69%"
"25.03.2022","5.206,0","5.600,0","5.761,0","5.022,0","875,18K","-5,77%"
"24.03.2022","5.525,0","5.302,5","5.993,0","5.300,0","1,20M","12,41%"
"25.02.2022","4.915,0","4.400,0","5.360,0","4.400,0","2,01M","5,70%"
"24.02.2022","4.650,0","5.410,5","5.410,5","3.019,5","4,69M","-22,76%"
"22.02.2022","6.020,0","5.805,0","6.050,0","5.479,0","5,90M","3,61%"
"21.02.2022","5.810,0","6.480,0","6.649,0","5.609,5","4,54M","-10,01%"
"18.02.2022","6.456,5","6.739,0","6.832,0","6.415,0","1,70M","-4,11%"
"17.02.2022","6.733,0","6.956,5","6.968,0","6.650,0","1,74M","-3,40%"
"16.02.2022","6.970,0","7.028,0","7.068,0","6.902,5","1,18M","-0,13%"
"15.02.2022","6.979,0","6.840,0","7.077,5","6.783,0","1,78M","2,69%"
"14.02.2022","6.796,0","6.684,0","6.885,0","6.524,5","1,95M","1,32%"
"11.02.2022","6.707,5","6.960,0","7.000,0","6.624,5","1,89M","-3,97%"
"10.02.2022","6.984,5","6.970,0","7.084,0","6.894,0","1,38M","0,16%"
"09.02.2022","6.973,5","6.966,5","7.009,0","6.900,0","1,55M","0,23%"
"08.02.2022","6.957,5","6.985,0","7.044,0","6.938,0","931,31K","-0,44%"
"07.02.2022","6.988,0","7.047,0","7.060,0","6.825,5","977,37K","-0,31%"
"04.02.2022","7.010,0","6.897,0","7.110,0","6.892,0","1,75M","2,10%"
"03.02.2022","6.865,5","7.026,5","7.030,0","6.794,5","1,32M","-2,48%"
"02.02.2022","7.040,0","6.975,0","7.050,0","6.936,0","983,00K","0,92%"
"01.02.2022","6.976,0","6.884,0","7.013,5","6.826,0","1,23M","1,42%"
"31.01.2022","6.878,0","6.810,0","6.910,0","6.780,0","1,30M","1,52%"
"28.01.2022","6.775,0","6.784,0","6.945,0","6.755,0","1,58M","-0,54%"
"27.01.2022","6.811,5","6.498,0","6.900,0","6.432,0","2,12M","4,38%"
"26.01.2022","6.525,5","6.542,0","6.690,0","6.405,0","2,23M","-0,27%"
"25.01.2022","6.543,0","6.270,0","6.562,5","6.177,5","2,08M","3,97%"
"24.01.2022","6.293,0","6.445,0","6.479,0","6.078,0","2,94M","-1,98%"
"21.01.2022","6.420,0","6.400,0","6.514,0","6.310,0","1,94M","-0,16%"
"20.01.2022","6.430,0","6.549,0","6.683,0","6.324,0","2,24M","-0,99%"
"19.01.2022","6.494,0","6.250,0","6.670,0","6.020,0","3,24M","3,90%"
"18.01.2022","6.250,0","6.548,0","6.587,0","6.132,0","3,68M","-4,08%"
"17.01.2022","6.516,0","6.668,0","6.734,0","6.445,0","1,58M","-2,15%"
"14.01.2022","6.659,0","6.699,0","6.791,0","6.469,0","2,08M","-0,09%"
"13.01.2022","6.665,0","6.927,0","6.951,5","6.610,0","1,77M","-4,24%"
"12.01.2022","6.960,0","6.814,5","6.969,0","6.770,0","1,27M","2,11%"
"11.01.2022","6.816,0","6.799,0","6.850,0","6.732,5","926,30K","0,61%"
"10.01.2022","6.775,0","6.730,0","6.880,0","6.650,5","1,24M","1,13%"
"06.01.2022","6.699,0","6.530,0","6.706,0","6.459,0","906,40K","2,71%"
"05.01.2022","6.522,0","6.715,5","6.755,0","6.501,0","972,89K","-3,06%"
"04.01.2022","6.728,0","6.688,0","6.741,0","6.627,0","551,24K","0,67%"
"03.01.2022","6.683,0","6.592,0","6.705,5","6.586,0","610,92K","1,67%"
"30.12.2021","6.573,0","6.516,5","6.597,0","6.480,0","768,28K","0,87%"
"29.12.2021","6.516,0","6.488,0","6.525,0","6.421,0","842,31K","0,59%"
"28.12.2021","6.478,0","6.395,0","6.559,5","6.377,0","994,80K","1,26%"
"27.12.2021","6.397,5","6.321,5","6.398,5","6.315,0","515,60K","1,33%"
"24.12.2021","6.313,5","6.300,0","6.328,0","6.220,5","385,83K","0,14%"
"23.12.2021","6.304,5","6.359,0","6.380,0","6.285,0","665,46K","-0,71%"
"22.12.2021","6.349,5","6.368,5","6.393,5","6.319,5","838,94K","0,02%"
"21.12.2021","6.348,5","6.350,0","6.428,0","6.285,0","1,12M","0,32%"
"20.12.2021","6.328,5","6.344,0","6.368,0","6.237,0","1,73M","-5,12%"
"17.12.2021","6.670,0","6.737,5","6.765,0","6.603,5","2,01M","-0,88%"
"16.12.2021","6.729,0","6.604,5","6.779,0","6.595,0","1,75M","2,03%"
"15.12.2021","6.595,0","6.591,0","6.625,0","6.447,0","1,12M","0,05%"
"14.12.2021","6.592,0","6.399,5","6.628,0","5.912,5","2,09M","3,39%"
"13.12.2021","6.376,0","6.630,0","6.700,0","6.352,0","1,54M","-3,68%"
"10.12.2021","6.619,5","6.624,5","6.673,0","6.568,5","675,35K","0,01%"
"09.12.2021","6.619,0","6.594,0","6.636,0","6.501,5","1,23M","0,68%"
"08.12.2021","6.574,5","6.721,0","6.784,5","6.510,0","2,08M","-2,17%"
"07.12.2021","6.720,5","6.664,0","6.766,5","6.645,0","2,17M","1,06%"
"06.12.2021","6.650,0","6.690,0","6.740,0","6.500,0","1,17M","0,16%"
"03.12.2021","6.639,5","6.751,0","6.770,0","6.571,5","843,40K","-1,37%"
"02.12.2021","6.732,0","6.611,0","6.768,0","6.558,0","1,46M","2,36%"
"01.12.2021","6.576,5","6.600,0","6.740,5","6.543,0","1,74M","0,97%"
"30.11.2021","6.513,0","6.502,0","6.688,5","6.418,5","2,73M","-1,56%"
"29.11.2021","6.616,0","6.510,0","6.713,0","6.480,0","1,81M","3,80%"
"26.11.2021","6.374,0","6.462,0","6.516,5","6.335,5","2,18M","-4,32%"
"25.11.2021","6.661,5","6.814,5","6.890,5","6.655,0","1,08M","-2,25%"
"24.11.2021","6.814,5","6.850,5","6.891,0","6.686,5","1,37M","-0,22%"
"23.11.2021","6.829,5","6.551,0","6.837,0","6.490,0","1,59M","3,86%"
"22.11.2021","6.575,5","6.690,0","6.756,5","6.532,0","1,75M","-1,99%"
"19.11.2021","6.709,0","6.897,0","6.902,5","6.660,0","1,37M","-1,92%"
"18.11.2021","6.840,0","6.832,0","6.887,0","6.783,5","815,01K","-0,65%"
"17.11.2021","6.884,5","6.945,0","6.950,0","6.840,0","1,15M","-0,89%"
"16.11.2021","6.946,5","6.956,0","7.006,0","6.905,0","847,55K","0,40%"
"15.11.2021","6.918,5","6.852,0","6.979,5","6.815,0","910,01K","0,59%"
"12.11.2021","6.878,0","7.061,5","7.067,0","6.835,0","1,94M","-3,05%"
"11.11.2021","7.094,5","7.158,0","7.171,0","6.969,0","1,09M","-0,60%"
"10.11.2021","7.137,5","7.209,0","7.266,0","7.120,0","656,16K","-0,70%"
"09.11.2021","7.188,0","7.200,0","7.255,0","7.117,5","792,62K","-0,28%"
"08.11.2021","7.208,5","7.240,0","7.275,0","7.202,0","511,33K","0,13%"
"05.11.2021","7.199,0","7.132,0","7.205,0","7.082,0","593,78K","0,33%"
"03.11.2021","7.175,0","7.190,0","7.202,5","7.125,0","595,46K","-0,54%"
"02.11.2021","7.214,0","7.304,0","7.394,0","7.193,5","947,12K","-1,08%"
"01.11.2021","7.293,0","7.265,0","7.327,5","7.242,0","595,25K","0,28%"
"29.10.2021","7.272,5","7.260,0","7.315,0","7.118,0","1,31M","-0,22%"
"28.10.2021","7.288,5","7.286,0","7.320,0","7.190,0","1,38M","-0,48%"
"27.10.2021","7.323,5","7.405,0","7.486,5","7.322,0","747,02K","-1,57%"
"26.10.2021","7.440,5","7.449,0","7.525,0","7.381,0","1,14M","-0,01%"
"25.10.2021","7.441,5","7.239,0","7.483,0","7.215,0","1,35M","3,35%"
"22.10.2021","7.200,0","7.213,0","7.314,5","7.172,0","818,28K","-0,44%"
"21.10.2021","7.232,0","7.400,0","7.429,0","7.202,5","930,44K","-2,78%"
"20.10.2021","7.439,0","7.363,0","7.460,0","7.320,0","855,93K","0,90%"
"19.10.2021","7.373,0","7.336,0","7.373,0","7.240,5","761,34K","0,74%"
"18.10.2021","7.319,0","7.320,0","7.364,0","7.271,5","712,41K","0,17%"
"15.10.2021","7.306,5","7.252,0","7.318,0","7.195,0","951,70K","1,27%"
"14.10.2021","7.215,0","7.285,5","7.319,0","7.172,0","805,59K","-0,51%"
"13.10.2021","7.252,0","7.333,0","7.333,5","7.070,5","1,26M","-0,74%"
"12.10.2021","7.306,0","7.210,0","7.332,0","7.192,0","818,74K","0,58%"
"11.10.2021","7.264,0","7.299,5","7.320,0","7.253,0","741,97K","0,61%"
"08.10.2021","7.220,0","7.205,0","7.279,0","7.170,5","923,16K","0,77%"
"07.10.2021","7.165,0","7.132,0","7.189,5","6.984,5","1,28M","0,97%"
"06.10.2021","7.096,0","7.410,0","7.417,0","7.030,0","1,55M","-3,41%"
"05.10.2021","7.346,5","7.160,0","7.417,0","7.123,0","1,67M","2,97%"
"04.10.2021","7.134,5","7.000,0","7.160,5","6.940,5","1,57M","2,10%"
"01.10.2021","6.987,5","6.866,0","6.990,0","6.835,0","698,38K","1,22%"
"30.09.2021","6.903,5","7.010,0","7.039,0","6.850,5","1,43M","-1,27%"
"29.09.2021","6.992,0","6.929,0","7.030,0","6.900,5","1,06M","0,34%"
"28.09.2021","6.968,0","7.015,0","7.141,5","6.964,0","1,47M","-0,26%"
"27.09.2021","6.986,0","6.900,0","7.003,0","6.871,0","1,41M","2,36%"
"24.09.2021","6.825,0","6.800,0","6.859,5","6.740,5","825,32K","0,35%"
"23.09.2021","6.801,0","6.750,0","6.801,0","6.707,0","968,05K","1,48%"
"22.09.2021","6.702,0","6.652,5","6.721,5","6.622,0","669,17K","1,47%"
"21.09.2021","6.605,0","6.579,0","6.660,0","6.557,0","918,00K","0,82%"
"20.09.2021","6.551,0","6.540,0","6.596,5","6.494,0","869,59K","-0,75%"
"17.09.2021","6.600,5","6.670,5","6.673,0","6.565,0","1,33M","-0,95%"
"16.09.2021","6.664,0","6.693,0","6.800,0","6.565,0","1,76M","-0,90%"
"15.09.2021","6.724,5","6.600,0","6.767,0","6.583,5","1,49M","2,35%"
"14.09.2021","6.570,0","6.441,0","6.600,0","6.428,5","1,83M","2,33%"
"13.09.2021","6.420,5","6.321,0","6.423,5","6.308,0","806,70K","1,91%"
"10.09.2021","6.300,0","6.300,0","6.339,0","6.272,0","749,57K","0,49%"
"09.09.2021","6.269,5","6.330,0","6.354,5","6.261,0","828,09K","-1,14%"
"08.09.2021","6.341,5","6.282,0","6.354,0","6.246,5","1,08M","0,98%"
"07.09.2021","6.280,0","6.335,0","6.338,5","6.268,5","791,77K","-0,71%"
"06.09.2021","6.325,0","6.327,0","6.372,0","6.314,5","561,61K","-0,08%"
"03.09.2021","6.330,0","6.364,0","6.366,0","6.301,0","653,65K","-0,32%"
"02.09.2021","6.350,5","6.330,0","6.408,0","6.278,5","1,13M","0,26%"
"01.09.2021","6.334,0","6.300,0","6.351,0","6.264,0","1,11M","0,80%"
"31.08.2021","6.283,5","6.438,0","6.449,0","6.221,0","2,06M","-2,41%"
"30.08.2021","6.439,0","6.445,0","6.471,5","6.403,5","504,82K","0,15%"
"27.08.2021","6.429,5","6.373,0","6.443,0","6.325,5","770,49K","1,36%"
"26.08.2021","6.343,5","6.420,0","6.430,0","6.308,0","610,56K","-1,36%"
"25.08.2021","6.431,0","6.462,0","6.483,0","6.420,5","407,06K","-0,88%"
"24.08.2021","6.488,0","6.500,0","6.521,5","6.408,0","634,45K","0,19%"
"23.08.2021","6.475,5","6.394,0","6.489,0","6.371,0","752,25K","2,15%"
"20.08.2021","6.339,5","6.315,0","6.348,0","6.262,5","561,42K","0,12%"
"19.08.2021","6.332,0","6.401,0","6.424,5","6.255,0","1,24M","-1,75%"
"18.08.2021","6.445,0","6.605,0","6.615,0","6.444,5","757,48K","-1,87%"
"17.08.2021","6.567,5","6.475,0","6.615,0","6.441,5","1,15M","1,11%"
"16.08.2021","6.495,5","6.400,0","6.503,0","6.369,5","622,02K","1,03%"
"13.08.2021","6.429,5","6.490,0","6.512,0","6.406,0","572,57K","-1,15%"
"12.08.2021","6.504,5","6.450,0","6.530,0","6.431,5","621,42K","0,84%"
"11.08.2021","6.450,0","6.438,0","6.487,5","6.400,0","918,50K","0,41%"
"10.08.2021","6.423,5","6.324,5","6.427,5","6.322,0","997,68K","2,12%"
"09.08.2021","6.290,0","6.198,0","6.310,0","6.110,5","790,81K","0,87%"
"06.08.2021","6.236,0","6.319,0","6.328,5","6.227,0","727,81K","-1,20%"
"05.08.2021","6.312,0","6.215,0","6.312,0","6.211,5","578,50K","1,23%"
"04.08.2021","6.235,0","6.310,0","6.333,5","6.226,0","755,59K","-0,98%"
"03.08.2021","6.297,0","6.302,0","6.330,0","6.205,5","999,61K","-0,17%"
"02.08.2021","6.308,0","6.308,5","6.380,0","6.260,0","893,45K","0,14%"
"30.07.2021","6.299,0","6.395,0","6.402,0","6.266,5","1,13M","-1,82%"
"29.07.2021","6.416,0","6.445,0","6.455,5","6.382,5","675,05K","0,02%"
"28.07.2021","6.415,0","6.346,0","6.427,0","6.342,0","687,71K","1,30%"
"27.07.2021","6.332,5","6.375,0","6.401,5","6.292,0","648,66K","-1,13%"
"26.07.2021","6.405,0","6.371,0","6.408,0","6.315,0","646,24K","-0,44%"
"23.07.2021","6.433,5","6.467,5","6.477,5","6.380,5","737,09K","-0,35%"
"22.07.2021","6.456,0","6.401,5","6.467,0","6.330,5","866,93K","0,99%"
"21.07.2021","6.393,0","6.291,0","6.408,5","6.265,5","910,01K","1,36%"
"20.07.2021","6.307,5","6.270,0","6.330,0","6.205,0","1,05M","1,28%"
"19.07.2021","6.228,0","6.303,5","6.339,0","6.213,5","927,95K","-2,11%"
"16.07.2021","6.362,0","6.397,0","6.479,5","6.327,5","783,18K","-1,07%"
"15.07.2021","6.430,5","6.550,0","6.552,0","6.403,0","974,16K","-2,06%"
"14.07.2021","6.566,0","6.631,0","6.750,0","6.562,0","1,14M","-1,07%"
"13.07.2021","6.637,0","6.625,0","6.646,0","6.580,0","650,20K","0,39%"
"12.07.2021","6.611,0","6.650,0","6.650,0","6.573,0","539,90K","-0,66%"
"09.07.2021","6.655,0","6.668,0","6.717,0","6.618,0","844,39K","-0,43%"
"08.07.2021","6.684,0","6.740,0","6.750,0","6.597,0","1,03M","-1,45%"
"07.07.2021","6.782,0","6.825,0","6.904,5","6.732,5","935,13K","-0,69%"
"06.07.2021","6.829,0","6.870,0","6.939,0","6.824,0","1,54M","-0,23%"
"05.07.2021","6.845,0","6.878,0","6.878,0","6.767,0","387,18K","-0,06%"
"02.07.2021","6.849,0","6.827,0","6.920,0","6.810,5","999,68K","-2,30%"
"01.07.2021","7.010,0","6.770,0","7.013,0","6.762,0","1,49M","3,66%"
"30.06.2021","6.762,5","6.686,0","6.804,5","6.617,0","1,15M","1,16%"
"29.06.2021","6.685,0","6.730,5","6.749,0","6.642,5","1,29M","-1,09%"
"28.06.2021","6.759,0","6.810,0","6.867,0","6.744,0","805,12K","-0,75%"
"25.06.2021","6.810,0","6.712,0","6.813,0","6.710,5","882,07K","1,26%"
"24.06.2021","6.725,0","6.632,5","6.759,0","6.620,0","1,48M","1,39%"
"23.06.2021","6.633,0","6.733,0","6.741,5","6.621,0","1,06M","-1,23%"
"22.06.2021","6.715,5","6.737,5","6.769,0","6.663,0","1,07M","0,28%"
"21.06.2021","6.697,0","6.645,0","6.700,0","6.603,0","687,14K","0,66%"
"18.06.2021","6.653,0","6.640,0","6.710,0","6.606,0","1,87M","-0,25%"
"17.06.2021","6.669,5","6.570,0","6.746,0","6.560,5","1,68M","1,18%"
"16.06.2021","6.591,5","6.524,0","6.637,5","6.522,5","1,18M","1,34%"
"15.06.2021","6.504,5","6.530,0","6.530,0","6.431,0","828,00K","-0,16%"
"14.06.2021","6.515,0","6.528,0","6.547,5","6.447,0","581,60K","-0,05%"
"11.06.2021","6.518,5","6.570,0","6.607,5","6.488,0","578,71K","-0,78%"
"10.06.2021","6.570,0","6.575,5","6.660,5","6.548,0","1,09M","-0,26%"
"09.06.2021","6.587,0","6.525,0","6.595,5","6.487,0","942,96K","1,27%"
"08.06.2021","6.504,5","6.530,0","6.564,5","6.400,0","1,37M","-0,77%"
"07.06.2021","6.555,0","6.489,5","6.590,0","6.460,0","919,19K","0,68%"
"04.06.2021","6.511,0","6.472,0","6.570,0","6.442,0","1,52M","0,56%"
"03.06.2021","6.474,5","6.460,0","6.499,0","6.327,0","1,96M","0,72%"
"02.06.2021","6.428,0","6.222,0","6.430,0","6.215,0","2,24M","3,51%"
"01.06.2021","6.210,0","6.021,0","6.223,0","6.017,0","2,08M","3,62%"
"31.05.2021","5.993,0","5.957,0","6.010,5","5.951,0","393,17K","0,64%"
"28.05.2021","5.955,0","6.012,0","6.030,0","5.936,0","734,31K","-0,62%"
"27.05.2021","5.992,0","6.000,0","6.012,0","5.915,0","1,61M","-0,41%"
"26.05.2021","6.016,5","5.923,0","6.019,5","5.918,0","1,17M","1,75%"
"25.05.2021","5.913,0","5.835,0","5.975,5","5.823,0","1,09M","1,63%"
"24.05.2021","5.818,0","5.831,5","5.859,5","5.774,0","572,35K","0,30%"
"21.05.2021","5.800,5","5.719,0","5.852,0","5.697,0","1,12M","1,57%"
"20.05.2021","5.711,0","5.855,0","5.863,5","5.681,0","1,35M","-2,58%"
"19.05.2021","5.862,5","5.969,0","5.978,0","5.767,5","1,73M","-2,19%"
"18.05.2021","5.994,0","6.000,0","6.043,0","5.962,5","1,81M","0,30%"
"17.05.2021","5.976,0","6.020,0","6.026,0","5.868,5","1,72M","-1,22%"
"14.05.2021","6.050,0","6.052,5","6.077,0","6.002,0","506,01K","0,17%"
"13.05.2021","6.040,0","6.100,0","6.127,0","5.999,5","1,17M","-1,29%"
"12.05.2021","6.119,0","6.028,0","6.205,0","6.003,5","1,43M","1,63%"
"11.05.2021","6.021,0","6.093,5","6.093,5","5.948,0","1,25M","-1,59%"
"10.05.2021","6.118,0","6.097,0","6.203,0","6.093,0","1,04M","0,49%"
"07.05.2021","6.088,0","6.104,0","6.122,5","6.042,5","726,51K","0,02%"
"06.05.2021","6.087,0","6.122,0","6.185,0","6.061,0","1,02M","-0,57%"
"05.05.2021","6.122,0","6.010,0","6.156,0","5.985,5","1,34M","2,19%"
"04.05.2021","5.991,0","5.824,0","5.999,0","5.815,0","1,37M","3,20%"
"30.04.2021","5.805,0","5.917,5","5.945,0","5.760,0","1,38M","-2,04%"
"29.04.2021","5.926,0","5.931,0","5.945,0","5.875,0","1,02M","0,42%"
"28.04.2021","5.901,0","5.906,0","5.945,0","5.844,0","891,58K","-0,04%"
"27.04.2021","5.903,5","5.917,0","5.966,5","5.870,5","763,49K","-0,26%"
"26.04.2021","5.919,0","5.952,0","5.971,0","5.892,5","841,03K","-0,52%"
"23.04.2021","5.950,0","6.020,0","6.027,5","5.931,0","855,97K","-0,82%"
"22.04.2021","5.999,0","5.945,0","6.057,0","5.886,5","1,31M","0,89%"
"21.04.2021","5.946,0","5.882,0","5.966,5","5.876,5","850,75K","0,83%"
"20.04.2021","5.897,0","6.021,5","6.061,0","5.840,0","1,45M","-1,83%"
"19.04.2021","6.007,0","6.059,0","6.087,0","5.986,0","555,68K","-0,97%"
"16.04.2021","6.066,0","6.089,0","6.104,0","6.025,0","761,54K","0,19%"
"15.04.2021","6.054,5","6.088,5","6.118,5","6.017,0","1,19M","-1,30%"
"14.04.2021","6.134,0","6.080,0","6.168,5","5.975,0","1,34M","1,48%"
"13.04.2021","6.044,5","6.003,5","6.055,0","5.946,5","752,39K","0,41%"
"12.04.2021","6.020,0","5.900,0","6.037,0","5.886,5","1,27M","1,47%"
"09.04.2021","5.933,0","6.001,0","6.006,0","5.867,0","1,15M","-1,26%"
"08.04.2021","6.008,5","5.990,0","6.068,0","5.945,0","768,59K","0,51%"
"07.04.2021","5.978,0","5.893,5","6.001,0","5.842,0","1,42M","1,48%"
"06.04.2021","5.891,0","6.008,0","6.024,0","5.871,5","1,17M","-1,66%"
"05.04.2021","5.990,5","6.095,0","6.095,0","5.951,0","856,54K","-1,93%"
"02.04.2021","6.108,5","6.120,5","6.137,0","6.076,5","236,12K","-0,06%"
"01.04.2021","6.112,0","6.152,5","6.189,0","6.015,0","1,14M","0,01%"
"31.03.2021","6.111,5","6.172,5","6.188,0","6.097,5","833,98K","-0,71%"
"30.03.2021","6.155,0","6.268,0","6.316,5","6.125,5","945,19K","-1,64%"
"29.03.2021","6.257,5","6.233,0","6.278,0","6.174,0","818,55K","-0,41%"
"26.03.2021","6.283,0","6.200,0","6.289,0","6.194,0","1,20M","1,63%"
"25.03.2021","6.182,0","6.155,0","6.195,5","6.056,0","1,16M","0,32%"
"24.03.2021","6.162,5","5.999,5","6.231,0","5.976,0","1,53M","3,38%"
"23.03.2021","5.961,0","6.088,0","6.098,0","5.951,0","1,73M","-2,57%"
"22.03.2021","6.118,0","6.063,0","6.167,0","5.980,0","1,22M","0,66%"
"19.03.2021","6.078,0","6.073,0","6.149,0","5.960,0","2,91M","-0,08%"
"18.03.2021","6.083,0","6.369,0","6.373,5","6.059,0","2,14M","-4,40%"
"17.03.2021","6.363,0","6.450,0","6.475,0","6.294,0","1,61M","-1,27%"
"16.03.2021","6.445,0","6.451,0","6.470,5","6.314,0","1,91M","-0,42%"
"15.03.2021","6.472,5","6.381,0","6.480,0","6.360,0","1,70M","1,83%"
"12.03.2021","6.356,0","6.310,5","6.377,0","6.267,0","950,68K","0,27%"
"11.03.2021","6.339,0","6.150,0","6.339,0","6.109,5","1,53M","3,45%"
"10.03.2021","6.127,5","6.276,0","6.300,5","6.084,0","1,64M","-2,82%"
"09.03.2021","6.305,0","6.200,0","6.405,0","6.167,0","1,98M","1,11%"
"05.03.2021","6.236,0","5.852,0","6.245,0","5.852,0","3,84M","7,41%"
"04.03.2021","5.806,0","5.719,0","5.955,0","5.690,0","1,94M","1,84%"
"03.03.2021","5.701,0","5.682,0","5.747,5","5.631,5","889,04K","0,93%"
"02.03.2021","5.648,5","5.610,0","5.676,0","5.592,0","771,44K","0,26%"
"01.03.2021","5.634,0","5.623,0","5.660,0","5.590,5","1,04M","1,05%"
"26.02.2021","5.575,5","5.707,0","5.794,5","5.545,0","2,51M","-2,87%"
"25.02.2021","5.740,5","5.804,5","5.888,0","5.731,0","1,65M","-0,83%"
"24.02.2021","5.788,5","5.751,0","5.791,0","5.676,5","1,14M","0,04%"
"22.02.2021","5.786,0","5.650,5","5.797,0","5.592,0","1,19M","2,72%"
"20.02.2021","5.633,0","5.657,0","5.659,0","5.602,5","123,12K","-0,41%"
"19.02.2021","5.656,0","5.576,0","5.697,0","5.561,0","1,24M","0,73%"
"18.02.2021","5.615,0","5.761,0","5.784,0","5.588,5","1,26M","-2,66%"
"17.02.2021","5.768,5","5.865,0","5.876,5","5.682,0","1,29M","-1,70%"
"16.02.2021","5.868,5","5.918,0","5.930,0","5.805,5","933,84K","-0,69%"
"15.02.2021","5.909,5","5.820,0","5.910,0","5.772,0","1,14M","2,67%"
"12.02.2021","5.756,0","5.624,5","5.756,5","5.501,0","1,27M","2,03%"
"11.02.2021","5.641,5","5.581,0","5.690,0","5.546,0","706,00K","0,84%"
"10.02.2021","5.594,5","5.699,5","5.712,5","5.560,0","1,34M","-1,76%"
"09.02.2021","5.695,0","5.780,5","5.796,0","5.654,0","1,05M","-1,09%"
"08.02.2021","5.758,0","5.750,0","5.797,5","5.698,0","963,99K","0,75%"
"05.02.2021","5.715,0","5.742,0","5.770,5","5.644,0","1,13M","0,27%"
"04.02.2021","5.699,5","5.565,0","5.728,5","5.529,0","2,27M","2,60%"
"03.02.2021","5.555,0","5.554,0","5.642,0","5.491,5","1,80M","0,71%"
"02.02.2021","5.516,0","5.427,5","5.577,0","5.407,5","2,45M","2,03%"
"01.02.2021","5.406,0","5.420,0","5.426,0","5.296,5","2,11M","0,54%"
"29.01.2021","5.377,0","5.552,0","5.561,5","5.365,5","2,02M","-3,55%"
"28.01.2021","5.575,0","5.467,0","5.617,0","5.442,5","1,69M","1,37%"
