"DateTime","Price","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.08.2022","4.018,0","3.977,0","4.025,0","3.936,0","431,90K","1,49%"
"15.08.2022","3.959,0","3.945,0","4.005,0","3.904,5","344,90K","0,47%"
"12.08.2022","3.940,5","3.935,0","3.979,0","3.901,0","399,40K","0,39%"
"11.08.2022","3.925,0","3.899,0","3.963,0","3.875,0","500,97K","0,90%"
"10.08.2022","3.890,0","3.895,0","3.910,0","3.825,0","452,73K","-0,13%"
"09.08.2022","3.895,0","3.720,0","3.895,0","3.701,5","456,81K","4,70%"
"08.08.2022","3.720,0","3.779,0","3.819,0","3.720,0","356,66K","1,10%"
"05.08.2022","3.679,5","3.720,0","3.746,0","3.659,5","379,69K","-1,09%"
"04.08.2022","3.720,0","3.800,0","3.816,0","3.712,0","374,53K","-2,08%"
"03.08.2022","3.799,0","3.823,0","3.855,0","3.784,0","398,60K","-0,63%"
"02.08.2022","3.823,0","3.930,5","3.965,5","3.795,0","585,71K","-2,75%"
"01.08.2022","3.931,0","3.883,0","4.030,0","3.825,5","1,01M","1,39%"
"29.07.2022","3.877,0","3.830,0","3.880,0","3.809,5","275,99K","1,20%"
"28.07.2022","3.831,0","3.870,0","3.885,0","3.770,0","423,00K","-0,43%"
"27.07.2022","3.847,5","3.850,0","3.878,0","3.810,0","488,73K","0,59%"
"26.07.2022","3.825,0","3.694,0","3.825,0","3.675,5","544,41K","4,25%"
"25.07.2022","3.669,0","3.672,0","3.709,5","3.637,0","369,72K","-0,52%"
"22.07.2022","3.688,0","3.552,0","3.688,0","3.551,0","575,22K","4,20%"
"21.07.2022","3.539,5","3.577,0","3.577,5","3.482,5","485,94K","-1,13%"
"20.07.2022","3.580,0","3.601,0","3.664,0","3.556,5","350,25K","-0,56%"
"19.07.2022","3.600,0","3.645,0","3.654,5","3.567,0","306,82K","-1,23%"
"18.07.2022","3.645,0","3.721,0","3.777,0","3.613,0","386,00K","-1,73%"
"15.07.2022","3.709,0","3.643,5","3.710,0","3.580,0","461,64K","2,80%"
"14.07.2022","3.608,0","3.645,5","3.710,0","3.551,0","610,14K","-1,03%"
"13.07.2022","3.645,5","3.757,0","3.767,0","3.619,0","585,48K","-2,84%"
"12.07.2022","3.752,0","3.830,0","3.846,0","3.713,0","502,25K","-2,51%"
"11.07.2022","3.848,5","3.900,0","3.920,0","3.802,5","539,59K","-1,60%"
"08.07.2022","3.911,0","3.959,5","3.980,0","3.902,5","359,49K","-1,14%"
"07.07.2022","3.956,0","3.963,0","4.010,0","3.940,0","339,57K","-0,15%"
"06.07.2022","3.962,0","4.000,0","4.150,0","3.945,0","603,62K","-1,32%"
